#Created by linked_rxns.txt on Thu Oct 26 13:54:42 2023.
#This file shows pairs of reactions (shown in Ecoyc ID) that are linked in a pathway (also shown in Ecocyc ID). Whether a reaction is on column 1 or 2 holds no biological significance. Think of it in terms of a non-directed network.
pathway	reaction.1	reaction.2
GLYCOLYSIS-TCA-GLYOX-BYPASS	ACONITATEHYDR-RXN	ISOCITDEH-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	CITSYN-RXN	ACONITATEDEHYDR-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	F16ALDOLASE-RXN	GAPOXNPHOSPHN-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	F16ALDOLASE-RXN	TRIOSEPISOMERIZATION-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	F16BDEPHOS-RXN	6PFRUCTPHOS-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	FUMHYDR-RXN	MALATE-DEH-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	FUMHYDR-RXN	MALATE-DEHYDROGENASE-ACCEPTOR-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	GAPOXNPHOSPHN-RXN	PHOSGLYPHOS-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	ISOCIT-CLEAV-RXN	MALSYN-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	ISOCIT-CLEAV-RXN	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	ISOCITDEH-RXN	2OXOGLUTARATEDEH-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	MALATE-DEH-RXN	CITSYN-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	MALATE-DEHYDROGENASE-ACCEPTOR-RXN	CITSYN-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	MALSYN-RXN	MALATE-DEH-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	PEPDEPHOS-RXN	PEPSYNTH-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	PEPDEPHOS-RXN	PYRUVDEH-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	PEPSYNTH-RXN	PEPDEPHOS-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	PGLUCISOM-RXN	6PFRUCTPHOS-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	PHOSGLYPHOS-RXN	3PGAREARR-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	PHOSGLYPHOS-RXN	RXN-15513
GLYCOLYSIS-TCA-GLYOX-BYPASS	PYRUVDEH-RXN	CITSYN-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	PYRUVDEH-RXN	MALSYN-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	RXN-15513	2PGADEHYDRAT-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	SUCCCOASYN-RXN	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	FUMHYDR-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	TRANS-RXN-157	PGLUCISOM-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	TRIOSEPISOMERIZATION-RXN	GAPOXNPHOSPHN-RXN
HEXITOLDEGSUPER-PWY	1.1.1.251-RXN	RXN-16992
HEXITOLDEGSUPER-PWY	2PGADEHYDRAT-RXN	PEPDEPHOS-RXN
HEXITOLDEGSUPER-PWY	3PGAREARR-RXN	2PGADEHYDRAT-RXN
HEXITOLDEGSUPER-PWY	6PFRUCTPHOS-RXN	F16ALDOLASE-RXN
HEXITOLDEGSUPER-PWY	6PFRUCTPHOS-RXN	F16BDEPHOS-RXN
HEXITOLDEGSUPER-PWY	F16ALDOLASE-RXN	GAPOXNPHOSPHN-RXN
HEXITOLDEGSUPER-PWY	F16ALDOLASE-RXN	TRIOSEPISOMERIZATION-RXN
HEXITOLDEGSUPER-PWY	F16BDEPHOS-RXN	6PFRUCTPHOS-RXN
HEXITOLDEGSUPER-PWY	GAPOXNPHOSPHN-RXN	PHOSGLYPHOS-RXN
HEXITOLDEGSUPER-PWY	MANNPDEHYDROG-RXN	6PFRUCTPHOS-RXN
HEXITOLDEGSUPER-PWY	PEPDEPHOS-RXN	PEPSYNTH-RXN
HEXITOLDEGSUPER-PWY	PEPSYNTH-RXN	PEPDEPHOS-RXN
HEXITOLDEGSUPER-PWY	PHOSGLYPHOS-RXN	3PGAREARR-RXN
HEXITOLDEGSUPER-PWY	PHOSGLYPHOS-RXN	RXN-15513
HEXITOLDEGSUPER-PWY	RXN-15513	2PGADEHYDRAT-RXN
HEXITOLDEGSUPER-PWY	RXN-16992	TAGAKIN-RXN
HEXITOLDEGSUPER-PWY	SORB6PDEHYDROG-RXN	6PFRUCTPHOS-RXN
HEXITOLDEGSUPER-PWY	TAGAALDOL-RXN	GAPOXNPHOSPHN-RXN
HEXITOLDEGSUPER-PWY	TAGAKIN-RXN	TAGAALDOL-RXN
HEXITOLDEGSUPER-PWY	TRANS-RXN-161	1.1.1.251-RXN
HEXITOLDEGSUPER-PWY	TRIOSEPISOMERIZATION-RXN	GAPOXNPHOSPHN-RXN
KDO-NAGLIPASYN-PWY	CPM-KDOSYNTH-RXN	KDOTRANS-RXN
KDO-NAGLIPASYN-PWY	DARAB5PISOM-RXN	RXN-16804
KDO-NAGLIPASYN-PWY	KDO-8PPHOSPHAT-RXN	CPM-KDOSYNTH-RXN
KDO-NAGLIPASYN-PWY	KDO-8PSYNTH-RXN	KDO-8PPHOSPHAT-RXN
KDO-NAGLIPASYN-PWY	KDOTRANS-RXN	KDOTRANS2-RXN
KDO-NAGLIPASYN-PWY	KDOTRANS2-RXN	LAUROYLACYLTRAN-RXN
KDO-NAGLIPASYN-PWY	KDOTRANS2-RXN	PALMITOTRANS-RXN
KDO-NAGLIPASYN-PWY	LAUROYLACYLTRAN-RXN	MYRISTOYLACYLTRAN-RXN
KDO-NAGLIPASYN-PWY	LIPIDADISACCHARIDESYNTH-RXN	TETRAACYLDISACC4KIN-RXN
KDO-NAGLIPASYN-PWY	LIPIDXSYNTHESIS-RXN	LIPIDADISACCHARIDESYNTH-RXN
KDO-NAGLIPASYN-PWY	PALMITOTRANS-RXN	MYRPALMTRAN-RXN
KDO-NAGLIPASYN-PWY	RXN-16804	KDO-8PSYNTH-RXN
KDO-NAGLIPASYN-PWY	TETRAACYLDISACC4KIN-RXN	KDOTRANS-RXN
KDO-NAGLIPASYN-PWY	UDPACYLGLCNACDEACETYL-RXN	UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN
KDO-NAGLIPASYN-PWY	UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	LIPIDXSYNTHESIS-RXN
KDO-NAGLIPASYN-PWY	UDPNACETYLGLUCOSAMACYLTRANS-RXN	UDPACYLGLCNACDEACETYL-RXN
KETOGLUCONMET-PWY	1.1.1.215-RXN	GLUCONOKIN-RXN
KETOGLUCONMET-PWY	1.1.1.264-RXN	GLUCONATE-5-DEHYDROGENASE-RXN
KETOGLUCONMET-PWY	1.1.1.274-RXN	1.1.1.215-RXN
KETOGLUCONMET-PWY	1.1.1.274-RXN	RXN0-7020
KETOGLUCONMET-PWY	1.1.1.274-RXN	YIAE1-RXN
KETOGLUCONMET-PWY	GLUCONATE-5-DEHYDROGENASE-RXN	1.1.1.215-RXN
KETOGLUCONMET-PWY	GLUCONATE-5-DEHYDROGENASE-RXN	GLUCONOKIN-RXN
KETOGLUCONMET-PWY	RXN0-7020	RXN0-7021
KETOGLUCONMET-PWY	RXN0-7021	1.1.1.264-RXN
KETOGLUCONMET-PWY	YIAE1-RXN	GLUCONATE-5-DEHYDROGENASE-RXN
KETOGLUCONMET-PWY	YIAE1-RXN	RXN0-7020
LPSSYN-PWY	CPM-KDOSYNTH-RXN	KDOTRANS-RXN
LPSSYN-PWY	CPM-KDOSYNTH-RXN	KDOTRANS2-RXN
LPSSYN-PWY	DARAB5PISOM-RXN	RXN-16804
LPSSYN-PWY	KDO-8PPHOSPHAT-RXN	CPM-KDOSYNTH-RXN
LPSSYN-PWY	KDO-8PSYNTH-RXN	KDO-8PPHOSPHAT-RXN
LPSSYN-PWY	KDOTRANS-RXN	KDOTRANS2-RXN
LPSSYN-PWY	KDOTRANS2-RXN	LAUROYLACYLTRAN-RXN
LPSSYN-PWY	LAUROYLACYLTRAN-RXN	MYRISTOYLACYLTRAN-RXN
LPSSYN-PWY	LIPIDADISACCHARIDESYNTH-RXN	TETRAACYLDISACC4KIN-RXN
LPSSYN-PWY	LIPIDXSYNTHESIS-RXN	LIPIDADISACCHARIDESYNTH-RXN
LPSSYN-PWY	MYRISTOYLACYLTRAN-RXN	RXN0-5118
LPSSYN-PWY	RXN-16804	KDO-8PSYNTH-RXN
LPSSYN-PWY	RXN-22461	RXN-22462
LPSSYN-PWY	RXN-22462	RXN-22463
LPSSYN-PWY	RXN-22463	RXN0-5123
LPSSYN-PWY	RXN0-5061	RXN-22461
LPSSYN-PWY	RXN0-5118	RXN0-5061
LPSSYN-PWY	RXN0-5123	RXN0-5124
LPSSYN-PWY	RXN0-5124	RXN0-5125
LPSSYN-PWY	RXN0-5125	RXN0-5126
LPSSYN-PWY	RXN0-5126	RXN0-5127
LPSSYN-PWY	TETRAACYLDISACC4KIN-RXN	KDOTRANS-RXN
LPSSYN-PWY	UDPACYLGLCNACDEACETYL-RXN	UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN
LPSSYN-PWY	UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	LIPIDXSYNTHESIS-RXN
LPSSYN-PWY	UDPNACETYLGLUCOSAMACYLTRANS-RXN	UDPACYLGLCNACDEACETYL-RXN
MET-SAM-PWY	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	HOMOSERDEHYDROG-RXN
MET-SAM-PWY	ASPARTATEKIN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
MET-SAM-PWY	CYSTATHIONINE-BETA-LYASE-RXN	HOMOCYSMET-RXN
MET-SAM-PWY	CYSTATHIONINE-BETA-LYASE-RXN	HOMOCYSMETB12-RXN
MET-SAM-PWY	HOMOCYSMET-RXN	S-ADENMETSYN-RXN
MET-SAM-PWY	HOMOCYSMETB12-RXN	S-ADENMETSYN-RXN
MET-SAM-PWY	HOMOSERDEHYDROG-RXN	HOMSUCTRAN-RXN
MET-SAM-PWY	HOMSUCTRAN-RXN	O-SUCCHOMOSERLYASE-RXN
MET-SAM-PWY	O-SUCCHOMOSERLYASE-RXN	CYSTATHIONINE-BETA-LYASE-RXN
METHGLYUT-PWY	1.1.1.283-RXN	LACTALDDEHYDROG-RXN
METHGLYUT-PWY	GLYOXI-RXN	GLYOXII-RXN
METHGLYUT-PWY	GLYOXII-RXN	DLACTDEHYDROGFAD-RXN
METHGLYUT-PWY	LACTALDDEHYDROG-RXN	L-LACTDEHYDROGFMN-RXN
METHGLYUT-PWY	RXN0-4281	RXN-8632
METSYN-PWY	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	HOMOSERDEHYDROG-RXN
METSYN-PWY	ASPARTATEKIN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
METSYN-PWY	CYSTATHIONINE-BETA-LYASE-RXN	HOMOCYSMET-RXN
METSYN-PWY	CYSTATHIONINE-BETA-LYASE-RXN	HOMOCYSMETB12-RXN
METSYN-PWY	HOMOSERDEHYDROG-RXN	HOMSUCTRAN-RXN
METSYN-PWY	HOMSUCTRAN-RXN	O-SUCCHOMOSERLYASE-RXN
METSYN-PWY	O-SUCCHOMOSERLYASE-RXN	CYSTATHIONINE-BETA-LYASE-RXN
OANTIGEN-PWY	2.3.1.157-RXN	NAG1P-URIDYLTRANS-RXN
OANTIGEN-PWY	5.4.2.10-RXN	2.3.1.157-RXN
OANTIGEN-PWY	DTDPDEHYDRHAMEPIM-RXN	DTDPDEHYRHAMREDUCT-RXN
OANTIGEN-PWY	DTDPGLUCDEHYDRAT-RXN	DTDPDEHYDRHAMEPIM-RXN
OANTIGEN-PWY	DTDPGLUCOSEPP-RXN	DTDPGLUCDEHYDRAT-RXN
OANTIGEN-PWY	L-GLN-FRUCT-6-P-AMINOTRANS-RXN	5.4.2.10-RXN
OANTIGEN-PWY	PGLUCISOM-RXN	L-GLN-FRUCT-6-P-AMINOTRANS-RXN
OANTIGEN-PWY	PHOSPHOGLUCMUT-RXN	DTDPGLUCOSEPP-RXN
ORNARGDEG-PWY	AGMATIN-RXN	PUTTRANSAM-RXN
ORNARGDEG-PWY	AGMATIN-RXN	RXN0-3901
ORNARGDEG-PWY	AMINOBUTDEHYDROG-RXN	GABATRANSAM-RXN
ORNARGDEG-PWY	ARGDECARBOX-RXN	AGMATIN-RXN
ORNARGDEG-PWY	GABATRANSAM-RXN	SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
ORNARGDEG-PWY	GABATRANSAM-RXN	SUCCSEMIALDDEHYDROG-RXN
ORNARGDEG-PWY	ORNDECARBOX-RXN	PUTTRANSAM-RXN
ORNARGDEG-PWY	ORNDECARBOX-RXN	RXN0-3901
ORNARGDEG-PWY	PUTTRANSAM-RXN	AMINOBUTDEHYDROG-RXN
ORNARGDEG-PWY	PUTTRANSAM-RXN	RXN-6423
ORNARGDEG-PWY	RXN0-3901	RXN0-3921
ORNARGDEG-PWY	RXN0-3921	RXN0-3922
ORNARGDEG-PWY	RXN0-3922	RXN0-3942
ORNARGDEG-PWY	RXN0-3942	GABATRANSAM-RXN
ORNDEG-PWY	ORNDECARBOX-RXN	PUTTRANSAM-RXN
ORNDEG-PWY	ORNDECARBOX-RXN	RXN0-3901
ORNDEG-PWY	PUTTRANSAM-RXN	AMINOBUTDEHYDROG-RXN
ORNDEG-PWY	PUTTRANSAM-RXN	RXN-6423
ORNDEG-PWY	RXN0-3901	RXN0-3921
ORNDEG-PWY	RXN0-3921	RXN0-3922
ORNDEG-PWY	RXN0-3922	RXN0-3942
P4-PWY	ASPAMINOTRANS-RXN	ASPARTATEKIN-RXN
P4-PWY	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	DIHYDRODIPICSYN-RXN
P4-PWY	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	HOMOSERDEHYDROG-RXN
P4-PWY	ASPARTATEKIN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
P4-PWY	CYSTATHIONINE-BETA-LYASE-RXN	HOMOCYSMET-RXN
P4-PWY	CYSTATHIONINE-BETA-LYASE-RXN	HOMOCYSMETB12-RXN
P4-PWY	DIAMINOPIMEPIM-RXN	DIAMINOPIMDECARB-RXN
P4-PWY	DIHYDRODIPICSYN-RXN	RXN-14014
P4-PWY	HOMOSERDEHYDROG-RXN	HOMOSERKIN-RXN
P4-PWY	HOMOSERDEHYDROG-RXN	HOMSUCTRAN-RXN
P4-PWY	HOMOSERKIN-RXN	THRESYN-RXN
P4-PWY	HOMSUCTRAN-RXN	O-SUCCHOMOSERLYASE-RXN
P4-PWY	O-SUCCHOMOSERLYASE-RXN	CYSTATHIONINE-BETA-LYASE-RXN
P4-PWY	RXN-14014	TETHYDPICSUCC-RXN
P4-PWY	SUCCDIAMINOPIMDESUCC-RXN	DIAMINOPIMEPIM-RXN
P4-PWY	SUCCINYLDIAMINOPIMTRANS-RXN	SUCCDIAMINOPIMDESUCC-RXN
P4-PWY	TETHYDPICSUCC-RXN	SUCCINYLDIAMINOPIMTRANS-RXN
PANTOSYN-PWY	2-DEHYDROPANTOATE-REDUCT-RXN	PANTOATE-BETA-ALANINE-LIG-RXN
PANTOSYN-PWY	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	2-DEHYDROPANTOATE-REDUCT-RXN
PANTOSYN-PWY	ASPDECARBOX-RXN	PANTOATE-BETA-ALANINE-LIG-RXN
PANTOSYN-PWY	P-PANTOCYSDECARB-RXN	PANTEPADENYLYLTRAN-RXN
PANTOSYN-PWY	P-PANTOCYSLIG-RXN	P-PANTOCYSDECARB-RXN
PANTOSYN-PWY	PANTEPADENYLYLTRAN-RXN	DEPHOSPHOCOAKIN-RXN
PANTOSYN-PWY	PANTOATE-BETA-ALANINE-LIG-RXN	PANTOTHENATE-KIN-RXN
PANTOSYN-PWY	PANTOTHENATE-KIN-RXN	P-PANTOCYSLIG-RXN
PENTOSE-P-PWY	1TRANSKETO-RXN	TRANSALDOL-RXN
PENTOSE-P-PWY	6PGLUCONOLACT-RXN	RXN-9952
PENTOSE-P-PWY	GLU6PDEHYDROG-RXN	6PGLUCONOLACT-RXN
PENTOSE-P-PWY	RIB5PISOM-RXN	1TRANSKETO-RXN
PENTOSE-P-PWY	RIBULP3EPIM-RXN	1TRANSKETO-RXN
PENTOSE-P-PWY	RXN-9952	RIB5PISOM-RXN
PENTOSE-P-PWY	RXN-9952	RIBULP3EPIM-RXN
PENTOSE-P-PWY	TRANSALDOL-RXN	2TRANSKETO-RXN
PEPTIDOGLYCANSYN-PWY	DALADALALIG-RXN	UDP-NACMURALGLDAPAALIG-RXN
PEPTIDOGLYCANSYN-PWY	GLUTRACE-RXN	UDP-NACMURALA-GLU-LIG-RXN
PEPTIDOGLYCANSYN-PWY	NACGLCTRANS-RXN	TRANS-RXN0-286
PEPTIDOGLYCANSYN-PWY	PHOSNACMURPENTATRANS-RXN	NACGLCTRANS-RXN
PEPTIDOGLYCANSYN-PWY	TRANS-RXN0-286	RXN-16650
PEPTIDOGLYCANSYN-PWY	UDP-NACMUR-ALA-LIG-RXN	UDP-NACMURALA-GLU-LIG-RXN
PEPTIDOGLYCANSYN-PWY	UDP-NACMURALA-GLU-LIG-RXN	UDP-NACMURALGLDAPLIG-RXN
PEPTIDOGLYCANSYN-PWY	UDP-NACMURALGLDAPAALIG-RXN	PHOSNACMURPENTATRANS-RXN
PEPTIDOGLYCANSYN-PWY	UDP-NACMURALGLDAPLIG-RXN	UDP-NACMURALGLDAPAALIG-RXN
PEPTIDOGLYCANSYN-PWY	UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	UDPNACETYLMURAMATEDEHYDROG-RXN
PEPTIDOGLYCANSYN-PWY	UDPNACETYLMURAMATEDEHYDROG-RXN	UDP-NACMUR-ALA-LIG-RXN
PHOSLIPSYN-PWY	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	CDPDIGLYSYN-RXN
PHOSLIPSYN-PWY	CDPDIGLYSYN-RXN	PHOSPHAGLYPSYN-RXN
PHOSLIPSYN-PWY	CDPDIGLYSYN-RXN	PHOSPHASERSYN-RXN
PHOSLIPSYN-PWY	GLYC3PDEHYDROGBIOSYN-RXN	RXN-10462
PHOSLIPSYN-PWY	GLYC3PDEHYDROGBIOSYN-RXN	RXN-1381
PHOSLIPSYN-PWY	PGPPHOSPHA-RXN	CARDIOLIPSYN-RXN
PHOSLIPSYN-PWY	PGPPHOSPHA-RXN	RXN0-7012
PHOSLIPSYN-PWY	PHOSPHAGLYPSYN-RXN	PGPPHOSPHA-RXN
PHOSLIPSYN-PWY	PHOSPHASERDECARB-RXN	RXN0-7012
PHOSLIPSYN-PWY	PHOSPHASERSYN-RXN	PHOSPHASERDECARB-RXN
PHOSLIPSYN-PWY	RXN-10462	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN
PHOSLIPSYN-PWY	RXN-1381	RXN-1623
PHOSLIPSYN-PWY	RXN-1623	CDPDIGLYSYN-RXN
POLYAMSYN-PWY	AGMATIN-RXN	SPERMIDINESYN-RXN
POLYAMSYN-PWY	ARGDECARBOX-RXN	AGMATIN-RXN
POLYAMSYN-PWY	LYSDECARBOX-RXN	RXN0-5217
POLYAMSYN-PWY	ORNDECARBOX-RXN	SPERMIDINESYN-RXN
POLYAMSYN-PWY	SAMDECARB-RXN	RXN0-5217
POLYAMSYN-PWY	SAMDECARB-RXN	SPERMIDINESYN-RXN
POLYISOPRENSYN-PWY	FPPSYN-RXN	RXN-8992
POLYISOPRENSYN-PWY	FPPSYN-RXN	RXN-8999
POLYISOPRENSYN-PWY	GPPSYN-RXN	FPPSYN-RXN
POLYISOPRENSYN-PWY	RXN-8999	UNDECAPRENYL-DIPHOSPHATASE-RXN
PRPP-PWY	ADENYL-KIN-RXN	ADPREDUCT-RXN
PRPP-PWY	ADENYL-KIN-RXN	RXN0-747
PRPP-PWY	ADENYLOSUCCINATE-SYNTHASE-RXN	AMPSYN-RXN
PRPP-PWY	ADPREDUCT-RXN	DADPKIN-RXN
PRPP-PWY	AICARSYN-RXN	AICARTRANSFORM-RXN
PRPP-PWY	AICARTRANSFORM-RXN	IMPCYCLOHYDROLASE-RXN
PRPP-PWY	AIRS-RXN	RXN0-742
PRPP-PWY	AMPSYN-RXN	ADENYL-KIN-RXN
PRPP-PWY	ASPCARBTRANS-RXN	DIHYDROOROT-RXN
PRPP-PWY	ATPPHOSPHORIBOSYLTRANS-RXN	HISTPRATPHYD-RXN
PRPP-PWY	CARBPSYN-RXN	ASPCARBTRANS-RXN
PRPP-PWY	DADPKIN-RXN	RXN0-745
PRPP-PWY	DGDPKIN-RXN	RXN0-746
PRPP-PWY	DIHYDROOROT-RXN	DIHYDROOROTATE-DEHYDROGENASE-RXN
PRPP-PWY	DIHYDROOROTATE-DEHYDROGENASE-RXN	OROPRIBTRANS-RXN
PRPP-PWY	FGAMSYN-RXN	AIRS-RXN
PRPP-PWY	GARTRANSFORMYL2-RXN	FGAMSYN-RXN
PRPP-PWY	GDPKIN-RXN	RXN0-746
PRPP-PWY	GDPREDUCT-RXN	DGDPKIN-RXN
PRPP-PWY	GLUTAMIDOTRANS-RXN	AICARTRANSFORM-RXN
PRPP-PWY	GLUTAMIDOTRANS-RXN	IMIDPHOSDEHYD-RXN
PRPP-PWY	GLYRIBONUCSYN-RXN	GARTRANSFORMYL2-RXN
PRPP-PWY	GMP-SYN-GLUT-RXN	GUANYL-KIN-RXN
PRPP-PWY	GUANYL-KIN-RXN	GDPKIN-RXN
PRPP-PWY	GUANYL-KIN-RXN	GDPREDUCT-RXN
PRPP-PWY	GUANYL-KIN-RXN	RXN0-748
PRPP-PWY	HISTAMINOTRANS-RXN	HISTIDPHOS-RXN
PRPP-PWY	HISTCYCLOHYD-RXN	PRIBFAICARPISOM-RXN
PRPP-PWY	HISTIDPHOS-RXN	HISTOLDEHYD-RXN
PRPP-PWY	HISTOLDEHYD-RXN	HISTALDEHYD-RXN
PRPP-PWY	HISTPRATPHYD-RXN	HISTCYCLOHYD-RXN
PRPP-PWY	IMIDPHOSDEHYD-RXN	HISTAMINOTRANS-RXN
PRPP-PWY	IMP-DEHYDROG-RXN	GMP-SYN-GLUT-RXN
PRPP-PWY	IMPCYCLOHYDROLASE-RXN	ADENYLOSUCCINATE-SYNTHASE-RXN
PRPP-PWY	IMPCYCLOHYDROLASE-RXN	IMP-DEHYDROG-RXN
PRPP-PWY	OROPRIBTRANS-RXN	OROTPDECARB-RXN
PRPP-PWY	OROTPDECARB-RXN	RXN-12002
PRPP-PWY	PRIBFAICARPISOM-RXN	GLUTAMIDOTRANS-RXN
PRPP-PWY	PRPPAMIDOTRANS-RXN	GLYRIBONUCSYN-RXN
PRPP-PWY	PRPPSYN-RXN	ATPPHOSPHORIBOSYLTRANS-RXN
PRPP-PWY	PRPPSYN-RXN	OROPRIBTRANS-RXN
PRPP-PWY	PRPPSYN-RXN	PRPPAMIDOTRANS-RXN
PRPP-PWY	RXN-12002	UDPKIN-RXN
PRPP-PWY	RXN0-742	RXN0-743
PRPP-PWY	RXN0-743	SAICARSYN-RXN
PRPP-PWY	RXN0-747	DADPKIN-RXN
PRPP-PWY	RXN0-748	DGDPKIN-RXN
PRPP-PWY	SAICARSYN-RXN	AICARSYN-RXN
PRPP-PWY	UDPKIN-RXN	CTPSYN-RXN
PWY-5459	1.1.1.283-RXN	LACTALDDEHYDROG-RXN
PWY-5459	LACTALDDEHYDROG-RXN	L-LACTDEHYDROGFMN-RXN
PWY-5485	PHOSACETYLTRANS-RXN	ACETATEKIN-RXN
PWY-5485	PYRUVFORMLY-RXN	PHOSACETYLTRANS-RXN
PWY-5705	ALLANTOATE-DEIMINASE-RXN	URUR-RXN
PWY-5705	ALLANTOINASE-RXN	ALLANTOATE-DEIMINASE-RXN
PWY-5705	URUR-RXN	UREIDOGLYCOLATE-LYASE-RXN
PWY-5838	2.5.1.64-RXN	RXN-9310
PWY-5838	DMK-RXN	ADOMET-DMK-METHYLTRANSFER-RXN
PWY-5838	ISOCHORSYN-RXN	2.5.1.64-RXN
PWY-5838	NAPHTHOATE-SYN-RXN	RXN-9311
PWY-5838	O-SUCCINYLBENZOATE-COA-LIG-RXN	NAPHTHOATE-SYN-RXN
PWY-5838	O-SUCCINYLBENZOATE-COA-SYN-RXN	O-SUCCINYLBENZOATE-COA-LIG-RXN
PWY-5838	RXN-8992	DMK-RXN
PWY-5838	RXN-9310	O-SUCCINYLBENZOATE-COA-SYN-RXN
PWY-5838	RXN-9311	DMK-RXN
PWY-6071	PHENDEHYD-RXN	RXN-10819
PWY-6071	RXN-10817	TRANS-RXN0-284
PWY-6071	RXN-10819	RXN0-2042
PWY-6071	RXN-2425	RXN0-2044
PWY-6071	RXN0-2042	RXN0-6510
PWY-6071	RXN0-2044	RXN-3641
PWY-6071	RXN0-6510	RXNMETA-12671
PWY-6071	RXN0-6512	RXN-2425
PWY-6071	RXNMETA-12671	RXNMETA-12672
PWY-6071	RXNMETA-12672	RXN0-6512
PWY-6071	TRANS-RXN0-284	PHENDEHYD-RXN
PWY-6125	DGDPKIN-RXN	RXN0-746
PWY-6125	GDPKIN-RXN	RXN0-746
PWY-6125	GDPREDUCT-RXN	DGDPKIN-RXN
PWY-6125	GMP-SYN-GLUT-RXN	GUANYL-KIN-RXN
PWY-6125	GUANYL-KIN-RXN	GDPKIN-RXN
PWY-6125	GUANYL-KIN-RXN	GDPREDUCT-RXN
PWY-6125	GUANYL-KIN-RXN	RXN0-748
PWY-6125	IMP-DEHYDROG-RXN	GMP-SYN-GLUT-RXN
PWY-6125	RXN0-748	DGDPKIN-RXN
PWY-6126	ADENYL-KIN-RXN	ADPREDUCT-RXN
PWY-6126	ADENYL-KIN-RXN	RXN0-747
PWY-6126	ADENYLOSUCCINATE-SYNTHASE-RXN	AMPSYN-RXN
PWY-6126	ADPREDUCT-RXN	DADPKIN-RXN
PWY-6126	AMPSYN-RXN	ADENYL-KIN-RXN
PWY-6126	DADPKIN-RXN	RXN0-745
PWY-6126	RXN0-747	DADPKIN-RXN
PWY-6277	FGAMSYN-RXN	AIRS-RXN
PWY-6277	GART-RXN	FGAMSYN-RXN
PWY-6277	GARTRANSFORMYL2-RXN	FGAMSYN-RXN
PWY-6277	GLYRIBONUCSYN-RXN	GART-RXN
PWY-6277	GLYRIBONUCSYN-RXN	GARTRANSFORMYL2-RXN
PWY-6277	PRPPAMIDOTRANS-RXN	GLYRIBONUCSYN-RXN
PWY-6284	2.3.1.179-RXN	RXN-9556
PWY-6284	5.3.3.14-RXN	RXN0-2141
PWY-6284	RXN-10654	RXN-10655
PWY-6284	RXN-10655	RXN-10656
PWY-6284	RXN-10656	RXN-10657
PWY-6284	RXN-10657	RXN-10658
PWY-6284	RXN-10658	RXN-10659
PWY-6284	RXN-10659	RXN-10660
PWY-6284	RXN-10660	RXN-10661
PWY-6284	RXN-10661	2.3.1.179-RXN
PWY-6284	RXN-10661	RXN-9550
PWY-6284	RXN-9556	RXN-9557
PWY-6284	RXN-9557	RXN-9558
PWY-6284	RXN-9558	RXN-9555
